gab,gh,gbb,gso,gslg,ghbp,gsf,gip,ger,hab,hh,hbb,hso,hslg,hhbp,hsf,hip,her,boxscore
38,12,3,3,0.579,1,0,9,1,29,4,2,13,0.172,0,1,9,10,/boxes/TEX/TEX201408130.shtml
32,5,2,10,0.156,0,0,8,3,33,9,2,7,0.333,2,1,9,0,/boxes/OAK/OAK201407070.shtml
35,7,3,2,0.286,0,0,8.1,4,32,8,3,4,0.5,0,0,9,2,/boxes/DET/DET201403310.shtml
36,10,5,8,0.333,0,0,8,9,33,11,9,10,0.424,0,1,9,6,/boxes/CHA/CHA201404110.shtml
32,8,2,4,0.344,0,1,9,1,30,5,4,3,0.2,0,0,9,2,/boxes/SLN/SLN201408060.shtml
39,11,5,4,0.462,0,0,9,3,36,8,1,11,0.278,0,0,9,9,/boxes/SEA/SEA201405240.shtml
32,9,1,6,0.406,1,0,9,1,33,7,0,7,0.242,0,0,9,3,/boxes/ARI/ARI201406190.shtml
34,9,0,3,0.441,0,0,8,5,31,9,2,8,0.419,1,0,9,2,/boxes/DET/DET201408260.shtml
35,10,2,5,0.4,1,0,9,2,30,3,0,7,0.333,0,0,9,6,/boxes/SDN/SDN201407310.shtml
38,12,3,7,0.579,0,1,9,3,31,6,8,1,0.323,0,0,9,5,/boxes/MIL/MIL201408220.shtml
38,14,0,7,0.526,0,2,9,0,33,6,2,13,0.212,0,0,9,7,/boxes/MIN/MIN201407260.shtml
38,13,8,9,0.711,3,1,9,5,35,10,7,12,0.4,0,1,9,10,/boxes/MIN/MIN201406080.shtml
33,7,2,16,0.242,0,0,8,2,31,7,3,12,0.258,1,0,9,1,/boxes/ATL/ATL201404230.shtml
34,7,0,9,0.235,0,0,8,3,31,9,0,7,0.419,0,1,9,0,/boxes/HOU/HOU201409150.shtml
32,7,3,9,0.375,0,0,9,0,31,6,4,9,0.258,0,0,9,4,/boxes/MIA/MIA201406210.shtml
31,5,4,7,0.258,0,0,8,4,28,7,1,2,0.393,0,1,9,1,/boxes/ARI/ARI201406200.shtml
38,9,6,10,0.447,0,1,10,7,35,7,3,18,0.457,0,1,10,9,/boxes/NYN/NYN201403310.shtml
33,8,4,5,0.364,1,0,8,3,29,6,1,2,0.345,0,0,9,2,/boxes/TOR/TOR201405230.shtml
30,4,2,13,0.333,0,0,8,4,31,10,6,6,0.548,0,2,9,2,/boxes/DET/DET201404190.shtml
33,10,4,2,0.333,0,0,9,6,35,11,5,9,0.571,0,1,9,7,/boxes/BOS/BOS201404210.shtml
28,5,4,7,0.25,0,0,8.2,2,29,5,2,5,0.241,0,1,9,2,/boxes/PIT/PIT201408200.shtml
31,5,1,12,0.258,0,0,8,4,32,8,1,14,0.313,1,1,9,1,/boxes/TBA/TBA201406250.shtml
31,6,3,6,0.258,0,0,8,2,37,12,1,3,0.351,0,0,9,0,/boxes/NYA/NYA201404162.shtml
32,4,0,8,0.125,0,0,8,4,29,7,2,6,0.483,0,0,9,1,/boxes/HOU/HOU201409030.shtml
30,4,4,8,0.133,0,0,8,3,31,8,3,9,0.323,0,0,9,0,/boxes/WAS/WAS201404080.shtml
39,9,1,12,0.256,0,0,9.2,4,38,12,5,10,0.447,0,1,10,3,/boxes/MIN/MIN201405150.shtml
